"pMLSNumber","pOfficeMLSCode","pMLSKey","pHeadline","pScrollingText","pScrollingTextFont","pScrollingTextWeigt","pScrollingTextColor","pScrollingTextSize","pRealtorDescription","pRealtorDescriptionDisplay","pOpenHouseMonth","pOpenHouseDay","pOpenHouseYear","pOpenHouseStart","pOpenHouseEnd","pOpenHouseRefreshments","pOpenHouseHeading","pOpenHouseAddress","pOpenHouseCity","pOpenHouseState","pOpenHousePostalCode","pOpenHouseComments","pOpenHousePhoneType","pOpenHousePhoneAreaCode","pOpenHousePhonePrefix","pOpenHousePhoneSuffix","pOpenHousePhoneExt","pOpenHouseMonth1","pOpenHouseDay1","pOpenHouseYear1","pOpenHouseStart1","pOpenHouseEnd1","pOpenHouseRefreshments1","pOpenHouseHeading1","pOpenHouseAddress1","pOpenHouseCity1","pOpenHouseState1","pOpenHousePostalCode1","pOpenHouseComments1","pOpenHousePhoneType1","pOpenHousePhoneAreaCode1","pOpenHousePhonePrefix1","pOpenHousePhoneSuffix1","pOpenHousePhoneExt1","pOpenHouseMonth2","pOpenHouseDay2","pOpenHouseYear2","pOpenHouseStart2","pOpenHouseEnd2","pOpenHouseRefreshments2","pOpenHouseHeading2","pOpenHouseAddress2","pOpenHouseCity2","pOpenHouseState2","pOpenHousePostalCode2","pOpenHouseComments2","pOpenHousePhoneType2","pOpenHousePhoneAreaCode2","pOpenHousePhonePrefix2","pOpenHousePhoneSuffix2","pOpenHousePhoneExt2","pOpenHouseMonth3","pOpenHouseDay3","pOpenHouseYear3","pOpenHouseStart3","pOpenHouseEnd3","pOpenHouseRefreshments3","pOpenHouseHeading3","pOpenHouseAddress3","pOpenHouseCity3","pOpenHouseState3","pOpenHousePostalCode3","pOpenHouseComments3","pOpenHousePhoneType3","pOpenHousePhoneAreaCode3","pOpenHousePhonePrefix3","pOpenHousePhoneSuffix3","pOpenHousePhoneExt3","pOpenHouseMonth4","pOpenHouseDay4","pOpenHouseYear4","pOpenHouseStart4","pOpenHouseEnd4","pOpenHouseRefreshments4","pOpenHouseHeading4","pOpenHouseAddress4","pOpenHouseCity4","pOpenHouseState4","pOpenHousePostalCode4","pOpenHouseComments4","pOpenHousePhoneType4","pOpenHousePhoneAreaCode4","pOpenHousePhonePrefix4","pOpenHousePhoneSuffix4","pOpenHousePhoneExt4","pVirtualTourURL"
"21727675","7ZAPR6","CRIA",,,,,,,"This new rendition of a classic traditional home welcomes you with open decks & heartwarming presence. Over 2500 square feet with 5 bedrooms & 3 baths, this home lives large. Sweetly reminiscent of its past life, there is a third level with knotty pine & secret nooks (officially storage). A hot tub off the master bedroom is private & sunny. The back yard has grass & room for storing bikes & other gear. Close to San Anselmo & Fairfax's best spots.","custom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"21727778","7ZAPR6","CRIA",,,,,,,"Tastefully remodeled Dominican home w/ numerous upgrades inside and out. Gourmet kitchen includes granite counters, maple cabinetry, Brazilian hardwood floors, recessed lighting & automatic skylights. Sliders open up to the park-like backyard w/ towering majestic redwoods, seasonal creek & a large level patio. Backyard wired for sound. Play structure. Excellent Coleman school nearby. Close to Whole Foods, downtown SR and great commute location","custom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.732Belle.com"
"21800078","7ZAPR6","CRIA",,,,,,,"This lovely Dominican home is close to all Marin has to offer. They kitchen has all new appliances and has a eating nook. The living and formal dining rooms open out to the level backyard with patio and lawn. The spacious family room upstairs has a great Western view of Mt. Tam. The master suite has an over-sized walk-in closet. 2 car garage with washer/dryer included. Close by to Whole Foods, Dominican college and easy commute location.","custom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"40754780","CCAPR03","CRIA",,,,,,,"Unique property zoned agricultural/farming on over 13 acres sitting atop one of Mt Diablo&#226;&#128;&#153;s foothills with panoramic Northerly views. Are you a hunter or a firearm enthusiast? Features include: barn/vehicle restoration garage, RV/Boat parking, storage containers, a horse, chickens, and a basement!","custom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.tourfactory.com/idxr1628451/r_MLS"
"40767291","CCAPR","CRIA",,,,,,,,"custom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"40771787","ML37608","CRIA",,,,,,,"Elegant Tolls Bros. executive home in wonderful neighborhood, the Oaks. Large master suite, guest suite(currently office) down. Vaulted ceilings, travertine tile entry and in dining room, bamboo floors in kitchen/family room. Three additional bedrooms upstairs, 1 Jr. suite. Home offers light, crown molding, wood window blinds, 6 burner gas stove, double ovens, microwave. Inside laundry room with sink. 3 car garage with attached cabinets. This home is spacious, in excellent condition. Yard wraps around the home, plenty of potential. Trails, parks & top-Rated Schools await you. Easy access to 680/580 commuters, shopping nearby. Needs lender approval.","custom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.tourfactory.com/idxr1742540"
"40772993","AAPR01","CRIA",,,,,,,"Phoenix Commons is a unique +55 Co-Housing community located on the Estuary in Oakland's Jingletown neighborhood. Enjoy living independently in this spacious 1,051 sq ft, one bedroom 1 and a half bath unit, easily converted into a 2 bedroom if additional privacy is desired. The unit is filled with natural light and boasts a full modern kitchen, high ceilings in-unit laundry space, private balcony and more. As co-housing residents, you also engage in a vibrant intentional community developing and defining the community where you live. Building includes gated garage, lap pool, gym area, craft room, private community dock, guest accommodations and more.","custom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"40775552","AAPR01","CRIA",,,,,,,"Phoenix Commons is a unique +55 Co-Housing community located on the Estuary in Oakland's Jingletown neighborhood. Enjoy living independently in this spacious 1,104 sq ft, one bedroom 1 and a half bath unit, easily converted into a 2 bedroom if additional privacy is desired. The unit is filled with natural light and boasts a full modern kitchen, high ceilings in-unit laundry space, private balcony and more. As co-housing residents, you also engage in a vibrant intentional community developing and defining the community where you live. Building includes gated garage, lap pool, gym area, craft room, private community dock, guest accommodations and more.","custom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"40783988","AAPR01","CRIA",,,,,,,"Phoenix Commons is a unique +55 Co-Housing community located on the Estuary in Oakland's Jingletown neighborhood. Enjoy living independently in this one bedroom one bath condo. The unit is filled with natural light and boasts a full modern kitchen, high ceilings in-unit laundry space, private balcony and more. As co-housing residents, you also engage in a vibrant intentional community developing and defining the community where you live. Building includes gated garage, lap pool, gym area, craft room, private community dock, guest accommodations and more.","custom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"40784114","CCAPR","CRIA",,,,,,,"Diamond Hills&#226;&#128;&#166;&#226;&#128;&#166;.&#226;&#128;&#166;. is an income producing equestrian facility located in the North Livermore Valley area on 120 acres of land, with an 80+ horse facility. Presently an operating turn-key equestrian facility for the boarding and training of horses. Currently home to three trainers, and several on-site ranch hands. Two main barns, each with it&#226;&#128;&#153;s own tack rooms, numerous crossties, and hot and cold H2O wash racks. The facility offers a wide range of options for the equine accommodations, from box stalls, large stall/paddock, to open grazing pasture land! Ideal for year round training, the facility offers an enclosed indoor arena (approx. 100 x 200), three (3) out door arenas and two (2) round pens. Numerous hay, shaving, and storage barns. Three homes accommodate the on site ranch hands. Large flat and accessible areas for trailer/RV parking!","custom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.6033dagnino.com"
"40786090","CCAPR","CRIA",,,,,,,"Open Sunday 1-4pm. Gorgeous home with a great floorplan in Montecito that backs to Open Space offers formal living and dining rooms, large eat-in kitchen adjoins family room, 1 bedroom and bath on the main level, large master suite with balcony, peaceful backyard with expansive patios, and views of Open Space...","custom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"40789889","CCAPR","CRIA",,,,,,,"Private gated 53+ acres with world class views in Rancho Moraga area. Guest house approx. 1100 sq. ft. with sport court. Property has a flat building pad for a 5700+/- square foot custom home. Backs to EBMUD open space and trails, property has 2.5+ acres planted vineyard, in need of TLC. Infrastructure and irrigation in place. A custom Castle Brook 6 stall horse barn in place for the equestrian rider. Barn has hay storage, tack room with a bathroom. Paver titles all stalls have mats, automatic waters, fly system and paddocks off each stall. This property is in two (2) parcels 49+/- acres and flat 4.35+/- to build your custom home on top of the world. This property is close to all shopping, located within an excellent school district grades 1-2, with St. Mary's college just down the road. Easy access to San Francisco. A must see for the builder, live in the guest home while you built your dream home.","custom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.30quailxing.com"
"40790018","CCAPR","CRIA",,,,,,,"Gorgeous, turnkey home with 4 bedrooms, 3 baths, & over 2700 sq. feet, conveniently located in the desirable Portola Glen neighborhood. Freshly remodeled kitchen features granite slab counter tops, new stainless steel appliances, five burner gas stove, & a large capacity wine/beverage cooler. Large master suite w/sitting area overlooking backyard & pool. Master bath w/new extended-height shower stall, dual sink vanity & large oval tub. Roomy master walk-in closet w/built in organizer.The full bath downstairs has a new shower stall & is located adjacent to the downstairs bedroom/office, great for visiting family or guests.Laundry room w/convenient sink & extra storage cabinets.Inviting & refreshing pool is the centerpiece of the very private backyard which is great for entertaining or just relaxing.Spacious 3 car garage w/epoxy coated floor features a custom-built workbench & lots of diamond plated storage cabinets on the walls. You&#226;&#128;&#153;ll love this Livermore Gem!","custom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.tourfactory.com/idxr1826681"
"40801928","CCAPR","CRIA",,,,,,,"WOW! Private single story cul-de-sac home with Mt. Diablo view! Huge gourmet kitchen with vaulted ceiling has 12 ft window overlooking pool, SPA and that amazing VIEW. Gigantic dining room will seat 12 for dinner. Spacious living room AND family room. Four bedrooms plus Tech Center and a laundry room to love. Lots of storage and cabinet space. Large cabana with full bath. Big work shop (can drive a car in it) with RV parking. New furnace and new air conditioning unit. Easy commute location. Close to top schools. No HOA dues. House was rebuilt from the floor up 19 years ago and enlarged and updated. Custom soaring ceiling that required a crane to put in place. Must see home to really appreciate all its amenities.","custom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.tourfactory.com/idxr1889999"
"40802041","CCAPR03","CRIA",,,,,,,"Clean and updated 4 bed 2 bath home on large lot in Lake Alhambra. Formal living room, Kitchen - family combo with fireplace. New composition roof, paint, carpet and flooring. New low maintenance front yard on automatic timers. 2 car garage + Large side-yard parking for toys. Backyard with fruit & citrus trees, dog run. Perfect family home.","custom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.tourfactory.com/1889829"
"40802357","CCAPR01","CRIA",,,,,,,"Gracious brown shingle Craftsman just steps to the Gourmet Ghetto and Solano Ave. Spacious living room with fireplace, formal dining room, and gorgeous remodeled kitchen that opens to level landscaped flowering garden. Remodeled upstairs with lovely San Francisco Bay views from the Master bedroom. Home has separate in-law unit.","custom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"40803091","CCAPR03","CRIA",,,,,,,"3 bed 2 bath home on roughly 5.25 acres. Small shop in back. Great place for a horse setup or potential for grapes. Aprox 400 ft of old hwy 4 frontage. Home sits in back of property away from the old hwy. New front picture to be added Thur.","custom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"40803132","CCAPR03","CRIA",,,,,,,"Immaculate single story Woodhill home located on a court with huge, park-like backyard. Laminate flooring, family room w/fireplace, huge kitchen w/dining area, newer appliances, new furnace, new roof, new water heater, & updated baths. RV/Boat parking, backyard perfect for entertaining, covered patio, fountains, pond, and enough space for a swimming pool. Quiet family neighborhood on a court-all original owners. Close to freeways & Walk to Schools! Open Sat & Sun 1-4pm!","custom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.tourfactory.com/idxr1896490"
"40803153","QSALPR18","CRIA",,,,,,,"Sensational La Paloma model 4 bed, 3 bath home in coveted Shadow Creek. Lovingly maintained by original occupants & first time on the market in over 25 years. Spacious & open floor plan of 3,281 sq ft w/ formal living & dining featuring vaulted ceilings, gleaming hardwood floors, recessed lighting, plantation shutters, & gas burning fireplace. Gorgeous chef's kitchen w/ breakfast bar, informal dining, new tile flooring, stainless steel appliances, granite countertops, large pantry, & plenty of cabinetry Elegant & stately master suite w/ vaulted ceilings, wardrobe, gas burning fireplace, & massive en-suite bath w/ dual vanities & jet-tub. Exquisitely maintained & landscaped, large corner lot of 8,249 sq ft w/ sizable back/side yards. Huge 3 car attached garage, laundry room, dual zoned A/C & heat, solar power, H2O purification system, & more! Great location near clubhouse/pool & walking distance to award winning schools. Just a quick drive to amazing shopping, dining & entertainment.","custom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.4162Rockcreek.com"
"40803384","CCAPR","CRIA",,,,,,,,"custom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"40803545","ML37608","CRIA",,,,,,,"A highly sought after single story home is minutes from the charming downtown area to enjoy its farmers market, coffee shops, restaurants and more. Double door entry welcomes you into the home's open floor plan with high ceilings, formal living room and formal dining room. The spacious Master bedroom is graced by the views of its rear yard patio area and saltwater pool with a spa, waterfall, also a built-in BBQ area and terraced planters. The finished garage offers generous built in storage cabinets throughout.","custom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.tourfactory.com/idxr1897515"
"40803704","CCAPR03","CRIA",,,,,,,"The Waterford, where gracious living is the standard and a delicious meal and weekly housekeeping are included. This 2 bedroom condo is on the top floor so no one is above you, and you have hillside views. Newly carpeted and freshly painted. This is a lovely property. Rossmoor and the Waterford have a lot of offer. Remain independent and just as active as you want to be. This is Active Adult Living at its finest. Aren't you just a little bit curious? Check it out!","custom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.tourfactory.com/idxr1896400"
